variety,precio,puntos
Auxerrois,23.642857142857142,88.9375
Malbec-Cabernet Sauvignon,40.166666666666664,88.91666666666667
Grenache,34.69604863221885,88.90881458966565
Semillon-Sauvignon Blanc,28.11111111111111,88.89285714285714
Alfrocheiro,28.25,88.875
Chenin Blanc-Chardonnay,15.363636363636363,88.86666666666666
Petite Verdot,46.733333333333334,88.86666666666666
Turbiana,22.960526315789473,88.8048780487805
Cabernet Sauvignon-Sangiovese,38.0,88.8
Merlot-Cabernet Franc,40.333333333333336,88.8
Chenin Blanc,24.6996336996337,88.76375404530744
Aragonês,42.0,88.75
Malvasia Bianca,24.5,88.75
Tokay,21.5,88.75
Cabernet Sauvignon-Shiraz,39.666666666666664,88.73333333333333
Marsanne,34.67741935483871,88.70967741935483
Portuguese Red,25.00891265597148,88.70465489566614
Cabernet Blend,57.93181818181818,88.70454545454545
Touriga Nacional Blend,33.125,88.7
Mencía,27.555555555555557,88.68604651162791
Syrah-Grenache,28.708333333333332,88.68
Vidal,40.333333333333336,88.66666666666667
Malbec-Bonarda,25.333333333333332,88.66666666666667
Silvaner,39.94444444444444,88.66666666666667
Susumaniello,29.333333333333332,88.66666666666667
Pallagrello Nero,32.666666666666664,88.66666666666667
Palomino,26.333333333333332,88.66666666666667
Touriga Nacional,28.782178217821784,88.64102564102564
Fiano,29.4,88.62962962962963
Gros Manseng,19.0,88.625
Gewürztraminer,25.987041036717063,88.61693548387096
Garnacha Tintorera,19.2,88.6
Chasselas,20.4,88.6
Sangiovese,45.33739837398374,88.56071428571428
Pinot Nero,35.55263157894737,88.55813953488372
Bordeaux-style White Blend,31.528301886792452,88.54351687388987
Alvarinho,18.86111111111111,88.53571428571429
Welschriesling,30.666666666666668,88.53333333333333
Cabernet Sauvignon,46.875739644970416,88.52978056426332
Lagrein,32.945945945945944,88.52631578947368
Gelber Muskateller,28.428571428571427,88.52173913043478
Sauvignon,26.623287671232877,88.51315789473684
Pinot Gris,23.153627311522047,88.50407608695652
Grecanico,25.5,88.5
Tinta Fina,31.0,88.5
Grenache-Shiraz,27.5,88.5
Duras,21.2,88.5
Trousseau,38.0,88.5
Viosinho,23.5,88.5
Morillon,24.5,88.5
Nielluciu,24.0,88.5
Graciano,44.8,88.5
Trousseau Gris,22.5,88.5
Melon,16.637931034482758,88.49242424242425
Zweigelt,23.216216216216218,88.44444444444444
Syrah-Viognier,43.111111111111114,88.44444444444444
Rhône-style White Blend,36.698019801980195,88.43414634146342
Roussanne-Viognier,31.0,88.42857142857143
Red Blend,36.18264520643807,88.42486818980667
Corvina,47.0,88.41666666666667
Tannat,31.884615384615383,88.39285714285714
Petit Verdot,40.92622950819672,88.3821138211382
Muscat,27.833333333333332,88.36507936507937
Chardonnay,35.20748237845653,88.35866416766059
Sylvaner,21.347826086956523,88.35714285714286
Greco,27.05263157894737,88.35483870967742
Grenache-Syrah,31.08695652173913,88.34782608695652
Argaman,40.666666666666664,88.33333333333333
Kisi,20.666666666666668,88.33333333333333
White Riesling,13.666666666666666,88.33333333333333
Sauvignon Blanc-Semillon,26.17948717948718,88.33333333333333
Feteasca Neagra,17.0,88.33333333333333
Rolle,23.0,88.33333333333333
"Corvina, Rondinella, Molinara",44.47348484848485,88.33229813664596
Malbec-Merlot,19.666666666666668,88.29411764705883
Black Muscat,23.285714285714285,88.28571428571429
Tempranillo Blend,35.99029126213592,88.27741935483871
Petite Sirah,31.401960784313726,88.26894865525672
Roussanne,28.105882352941176,88.26744186046511
Trebbiano Spoletino,21.0,88.25
Perricone,23.666666666666668,88.25
Sémillon,24.383561643835616,88.25
Schiava,19.692307692307693,88.23076923076923
Cabernet Franc-Merlot,45.0,88.22222222222223
Syrah-Merlot,31.6,88.2
Moschofilero,14.8,88.2
Cabernet Sauvignon-Carmenère,31.3,88.19047619047619
Cabernet Franc,33.82878787878788,88.16376811594203
Provence white blend,23.11111111111111,88.15789473684211
Cannonau,26.555555555555557,88.15
Moscatel,36.08571428571429,88.10810810810811
Assyrtico,23.615384615384617,88.07692307692308
Pinot Bianco,26.304347826086957,88.06849315068493
Vespolina,25.0,88.0
Žilavka,15.0,88.0
Chardonnay-Sauvignon Blanc,13.0,88.0
Savatiano,16.666666666666668,88.0
Trepat,21.333333333333332,88.0
Zelen,,88.0
Rebula,18.0,88.0
Malvasia di Candia,22.0,88.0
Maria Gomes,11.0,88.0
Cercial,50.0,88.0
